joke
محشش وصلت فاتورة الماء 7 الف لتر أتصل على وزارة المياه قالهم سلامات لا يكون المطر على حسابي
وانا بالسياره شفت واحد يجري قلت له اوصلك قال لا مستعجل مستعجل شعب يتعاطى زيت كاز
محشش مسكوه واخذوه للمحكمة قاله القاضي : هاذي ثاني مرة تجي ما تستحي على وجهك ! قال المحشش : شوف نفسك كل يوم هنا !!
محشش ميكانيكي مات ابوة وهم شايلين جنازة ابوه واحد قال ليش ابوك ثقيل كذا رد عليه المحشش : يمكن مات معشق
محشش يمني يسال امريكي تدخن قال : No تشرب قال : No طيب مخدرات قال : No قال اليمني : يلعن امك كافر على الفاضي
محشش أشترى دش من ورى اهله وقال لهم انا شريت كلب كبير ومتوحش وخطير خليته في السطح لا حد يطلع فوق تراه ياكلكم . طلع اخوه المحشش الكبير يستكشف نزل يرتجف سألوه هاه شفت الكلب ؟ قال: لا شفت الصحن اللي ياكل فيه الله يلعن المخدرات
واحد قبضوا عليه سكران جابوه للقاضي القاضي: قالوا قبضوا عليك سكران المتهم: أيوة نعم القاضي : وقالوا قبضوا عليك شايل قارورة خمر المتهم : نعم القاضي : وقالوا عامل مشاكل في الشارع المتهم: انت اجلس بس مثل النسوان قالوا قلتي
محشش .. خطيبته بتمدحه وتقله : انت بطل الأبطال .... انت شجاع وفارس الفرسان. المحشش تحمس وقال: انا اساساً كنت شهيد
محشش يسأل محشش ليش العصفور حين يطير يعطف ارجله قاله خايف على الصنادل ينكعين
واحد سكران روح اخر الليل جاء يفتح الباب بالمفتاح ما لقى الخزقي جاوب ابوه من الطاقه. قال ارجم لك المفتاح قال السكران المفتاح معي لكن ارجم لي الخرم حق الباب
"سألو محشش كيف تتمنى زوجتك؟؟ قال اتمناها نفس القمر قالو يعني تتمناها حلوه وهادئه !"" قال لا اتمناها تكون عندي بالليل وتختفي الصبح"
واحد محشش جت سياره القمامه لباب بيته. سالوه معاكم قمامه قالهم. لحظه دخل سال زوجته معنا. قمامه قالت ايووووه. رجع لا عندهم. قالهم. تسلمو ياشباب معانا.
محشش قالوا له في الصين كل دقيقه ينولد واحد قال يقلع ابو التطور وليش احنا كل 9 أشهر
واحدة جالها واحد يخطبها سارت لا عند صاحبتها قالت ايش رايش جالي خطيب سكران اوافق علية ولا لا ، قالت وافقي على طول قبل ما يصحى شلوكي الجن عادها عتستشير وهي ساع الحج حمادي
واحد مخدر قوي روح البيت ولقي مرته بتبكي قال لها : مالك ؟؟ قالت : جارتنا قالت انها شافتك امس انت وواحدة طويلة وحاليه وانت رايح انت وهيه المركز الليبي قال : لا تصدقيها الكلبه بنت الكلب. والله انها كذابه ... احنا سرنا يمن مول
ثلاثه محششين اشترو ثلاجه ويشتو يطلعوها شقتهم في الدور العاشر؟ دخلو العماره ، ووصلو الى الدور التاسع وتعبو وقالو : خلونا نرتاح شويه واحد منهم قال : أشتي أشوف كم دور باقي وأرجع لكم ! طلع ونزل وقال لاخوته : عندي لكم خبرين ؟ الأول حالي والثاني شوعة ، قالو : هات الخبر الحالي قال : الخبر الحالي انه باقي دور ونوصل وقالو : طيب وايش الخبر الشوعة؟ قال : العماره مش عمارتنا
محشش كان بيلحق ولد صغير جننه في روحه ... الولد جلس يجري ويجري دعسته سيارة ومات ودخل الجنة ... اختفى المحشش بعد سنتين لقيوه مربي دقنته وقدوه ملتزم فسألوه : ما شاء الله ، الباري هداك. قلهم حرام لأدخل الجنة واقتله
